Title,Author,Type,Themes,Tones,Reason Code,Reason,Date Dismissed,Source
The Ferryman,Justin Cronin,fiction,"sci-fi, speculative, thriller, high-concept","fast-paced, slow-burn, atmospheric, twisty",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Flavor Bible,Andrew Dornenburg,nonfiction,food,dense,started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Heaven & Earth Grocery Store,James McBride,fiction,"historical fiction, literary, social commentary","slow-burn, atmospheric, character-driven, accessible",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Invention of Sound,Chuck Palahniuk,fiction,"horror, thriller, psychological, high-concept","fast-paced, dark, tense, twisty",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Last Trial,Scott Turow,fiction,"legal, thriller, courtroom","procedural, tense, character-driven, fast-paced",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Monk Who Sold His Ferrari,Robin Sharma,nonfiction,"self-help, memoir","accessible, conversational, personal",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Real Hoosiers,Jack McCallum,nonfiction,"sports, history, narrative nonfiction, social commentary","narrative-driven, accessible, dense, revelatory",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Rise and Fall of the Third Reich,William Shirer,nonfiction,"history, political, military, narrative nonfiction","dense, investigative, narrative-driven",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Roundabout Way,Jack O’Brien,fiction,"literary, adventure","character-driven, conversational",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Terminal List,Jack Carr,fiction,"thriller, military, suspense, crime","fast-paced, gritty, tense, dark",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Terroir of Whiskey,Rob Arnold,nonfiction,"narrative nonfiction, food","accessible, narrative-driven, conversational",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Wax Pack,Brad Balukjian,nonfiction,"narrative nonfiction, sports, memoir","narrative-driven, accessible, character-study, personal",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
To Sleep in a Sea of Stars,Christopher Paolini,fiction,"sci-fi, adventure, speculative, high-concept","fast-paced, slow-burn, atmospheric, twisty",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
To Start a War,Robert Draper,nonfiction,"narrative nonfiction, political, military, history","narrative-driven, accessible, gritty, investigative",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Trillions,Robin Wigglesworth,nonfiction,"finance, narrative nonfiction, history, tech history","narrative-driven, accessible, dense",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Ugly Love,Colleen Hoover,fiction,"romance, contemporary, domestic suspense","character-driven, twisty, fast-paced, dark",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
When Crack Was King,Donovan Ramsey,nonfiction,"true crime, social commentary, narrative nonfiction, history","investigative, narrative-driven, dark",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Where Are Your Boys Tonight?,Chris Payne,nonfiction,"music history, narrative nonfiction, social commentary, history","narrative-driven, accessible, dense, revelatory",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
White Stripes,Denise Sullivan,nonfiction,"music history, biography","narrative-driven, character-study",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Why Has Nobody Told Me This Before?,Julie Smith,nonfiction,"psychology, narrative nonfiction","accessible, narrative-driven, dense",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
