Source,Title,Author,Type,Themes,Tones,Avg Rating,Pages,Year,Date Added,Similar To,BBRE Score,Why Youd Like It,Why You Might Not,Keep (Y/N/Maybe)
to-read,The Jackal's Mistress,Chris Bohjalian,fiction,"historical, thriller, military, historical fiction","atmospheric, dark, character-driven, tense",4.1,336,2026,2026/01/31,"The Great Alone, Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, Kristin Hannah",73,"Atmospheric thriller. If you like Kristin Hannah, this hits the same notes.",Dark or heavy subject matter.,
to-read,Rock Paper Scissors,Alice Feeney,fiction,"thriller, psychological, suspense","fast-paced, twisty, dark, unreliable-narrator",3.9,294,2021,2026/01/23,"Behind Closed Doors, The Woman in the Window, B.A. Paris",73,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Dark or heavy subject matter.,
to-read,Kissinger: A Biography,Walter Isaacson,nonfiction,"biography, history, narrative nonfiction","dense, narrative-driven, accessible",4.1,896,2005,2023/11/20,"Steve Jobs, Elon Musk, A.J. Baime",73,"In-depth biography. If you like A.J. Baime, this hits the same notes.",Long commitment at 896 pages.,
to-read,Where Men Win Glory: The Odyssey of Pat Tillman,Jon Krakauer,nonfiction,"military, biography, narrative nonfiction","narrative-driven, dark, investigative, disturbing",4.3,323,2009,2020/09/22,"The Arsenal of Democracy: FDR, Detroit, and an Epic Quest to Arm an America at War, Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, A.J. Baime",73,"In-depth biography. If you like A.J. Baime, this hits the same notes.",Dark or heavy subject matter.,
to-read,"Hello, Goodbye, and Everything in Between",Jennifer E. Smith,fiction,"romance, coming-of-age, literary","character-driven, heartwarming, slow-burn, atmospheric",3.9,246,2015,2024/04/05,"The Statistical Probability of Love at First Sight, Every Day (Every Day, #1), David Levithan",72,"Rich character work and atmospheric prose. If you like David Levithan, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Gambler: Secrets from a Life at Risk,Billy Walters,nonfiction,"memoir, narrative nonfiction","fast-paced, personal, narrative-driven, dark",4.1,384,2023,2023/08/21,"Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker, Ship It Holla Ballas!: How a Bunch of 19-Year-Old College Dropouts Used the Internet to Become Poker's Loudest, Craziest, and Richest Crew, Ben Mezrich",72,"Personal, candid memoir. If you like Ben Mezrich, this hits the same notes.",Dark or heavy subject matter.,
to-read,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,nonfiction,"true crime, narrative nonfiction, investigative journalism","investigative, dark, personal, immersive-journalism",4.4,352,2018,2022/04/19,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, Nick Bilton",72,"Gripping true crime narrative. If you like Nick Bilton, this hits the same notes.",Dark or heavy subject matter.,
candidate pool,Haven't They Grown,Sophie Hannah,fiction,"thriller, psychological, domestic suspense",,3.89,352,2020,,"The Silent Patient, Behind Closed Doors, Freida McFadden",72,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",Modest rating (3.89/5). Mixed reader reactions.,
to-read,In the Kingdom of Ice: The Grand and Terrible Polar Voyage of the USS Jeannette,Hampton Sides,nonfiction,"narrative nonfiction, adventure, history","narrative-driven, fast-paced, accessible, dense",4.3,454,2014,2025/04/04,"Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night, Into Thin Air, David Grann",71,"Narrative nonfiction — reads like a novel about adventure. If you like David Grann, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Twas the Nightshift Before Christmas,Adam Kay,nonfiction,"humor, memoir, narrative nonfiction","conversational, character-study, humorous, narrative-driven",4.3,144,2019,2023/08/27,"This is Going to Hurt: Secret Diaries of a Junior Doctor, Yearbook, Seth Rogen",71,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",Short at 144 pages — may feel slight.,
to-read,You Must Remember This,Kat Rosenfield,fiction,"thriller, psychological, mystery","tense, fast-paced, dark, procedural",3.8,320,2023,2022/11/04,"The Silent Patient, The Woman in the Window, Alex Michaelides",71,"Tense thriller. If you like Alex Michaelides, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
candidate pool,Killers of the Flower Moon,David Grann,nonfiction,"history, true crime, narrative nonfiction",,4.2,338,2017,,"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession, American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, David Grann",71,"Gripping true crime narrative. If you like David Grann, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Couple Next Door,Shari Lapena,fiction,"thriller, psychological, suspense","fast-paced, twisty, dark, tense",3.8,308,2016,2026/03/15,"Before I Go to Sleep, Behind Closed Doors, B.A. Paris",70,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,The Paris Apartment,Lucy Foley,fiction,"thriller, mystery, suspense","atmospheric, twisty, tense, multiple-pov",3.7,360,2022,2022/06/21,"The Guest List, The Silent Patient, Alex Michaelides",70,"Atmospheric thriller. If you like Alex Michaelides, this hits the same notes.",Modest rating (3.7/5).,
candidate pool,Wrong Place Wrong Time,Gillian McAllister,fiction,"thriller, high-concept",,3.94,336,2022,,"Dark Matter, Upgrade, Blake Crouch",70,"Fast-paced thriller. If you like Blake Crouch, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,I Let You Go,Clare Mackintosh,fiction,"thriller, psychological",,4.04,368,2014,,"The Silent Patient, Behind Closed Doors, Freida McFadden",70,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,A Simple Favor,Darcey Bell,fiction,"thriller, mystery, psychological",,3.8,304,2017,,"Behind Closed Doors, The Silent Patient, Freida McFadden",70,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",Modest rating (3.8/5). Mixed reader reactions.,
to-read,The Boyfriend,Freida McFadden,fiction,"thriller, psychological, suspense","fast-paced, twisty, dark, compulsive",4.1,368,2024,2025/02/15,"Never Lie, The Teacher, B.A. Paris",69,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Dark or heavy subject matter.,
to-read,"Juror #3 (Ruby Bozarth, #1)",James Patterson,fiction,"legal, thriller, courtroom","fast-paced, plot-driven, compulsive, procedural",3.8,352,2018,2021/09/20,"A Time to Kill (Jake Brigance, #1), Along Came a Spider (Alex Cross, #1), John Grisham",69,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",Modest rating (3.8/5).,
candidate pool,My Husband,Maud Ventura,fiction,"thriller, domestic suspense",,3.9,288,2023,,"Behind Closed Doors, Verity, B.A. Paris",69,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Hello Beautiful,Ann Napolitano,fiction,"literary, historical, psychological",,4.04,387,2023,,"The Seven Husbands of Evelyn Hugo, Malibu Rising, Kristin Hannah",69,"Psychological/horror fiction. If you like Kristin Hannah, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,No One Saw a Thing,Andrea Mara,fiction,"thriller, mystery, psychological","fast-paced, twisty, tense",3.8,384,2023,2025/12/01,"All Her Fault, The Silent Patient, B.A. Paris",68,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.8/5).,
to-read,"The Maid's Secret (Molly the Maid, #3)",Nita Prose,fiction,"mystery, whodunit","humorous, character-study, procedural, whodunit",4,336,2025,2025/03/02,"The Mystery Guest (Molly the Maid, #2), The Silent Patient, Alex Michaelides",68,"Mystery. If you like Alex Michaelides, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Trolls of Wall Street: How the Outcasts and Insurgents Are Hacking the Markets,Nathaniel Popper,nonfiction,"finance, wall street, narrative nonfiction","fast-paced, tense, dark",3.9,352,2024,2024/04/18,"The Dumb Money: The GameStop Short Squeeze and the Ragtag Group of Amateur Traders That Brought Wall Street to Its Knees (Previously Published as The Antisocial Network), Flash Boys: A Wall Street Revolt, Ben Mezrich",68,"Narrative nonfiction — reads like a novel about finance. If you like Ben Mezrich, this hits the same notes.",Dark or heavy subject matter.,
to-read,The Fury,Alex Michaelides,fiction,"thriller, psychological, mystery","fast-paced, twisty, dark, atmospheric",3.8,298,2024,2023/09/12,"The Silent Patient, Before I Go to Sleep, B.A. Paris",68,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,"The Enigma Cube (Alien Artifact, #1)",Douglas E. Richards,fiction,"sci-fi, speculative, thriller","fast-paced, tense, plot-driven",4.3,424,2020,2020/09/03,"Project Hail Mary, Recursion, Andy Weir",68,"Fast-paced thriller. If you like Andy Weir, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Frozen River,Ariel Lawhon,fiction,"historical, mystery, crime, history",,4.38,432,2023,,"Where the Crawdads Sing, The Great Alone, Kristin Hannah",68,"Fast-paced thriller. If you like Kristin Hannah, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Future,Naomi Alderman,fiction,"speculative, tech history, adventure",,3.7,384,2023,,"Upgrade, Dark Matter, Blake Crouch",68,"Inventive speculative premise. If you like Blake Crouch, this hits the same notes.",Modest rating (3.7/5). Mixed reader reactions.,
to-read,A Violent Masterpiece,Jordan Harper,fiction,"thriller, mystery, crime","fast-paced, dark, gritty, procedural",4,384,2026,2025/11/06,"She Rides Shotgun, Everybody Knows, S.A. Cosby",67,"Fast-paced thriller. If you like S.A. Cosby, this hits the same notes.",Dark or heavy subject matter.,
candidate pool,The Turn of the Key,Ruth Ware,fiction,"crime, thriller, psychological",,3.7,368,2019,,"Behind Closed Doors, The Silent Patient, Freida McFadden",67,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",Modest rating (3.7/5). Mixed reader reactions.,
to-read,Football,Chuck Klosterman,nonfiction,"sports, narrative nonfiction","humorous, conversational, accessible",4,304,2026,2025/11/28,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto, Killing Yourself to Live: 85% of a True Story, Jeff Pearlman",66,"Narrative nonfiction — reads like a novel about sports. If you like Jeff Pearlman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"The Small and the Mighty: Twelve Unsung Americans Who Changed the Course of History, from the Founding to the Civil Rights Movement",Sharon McMahon,nonfiction,"history, narrative nonfiction, biography","accessible, inspiring, narrative-driven",4.4,307,2024,2024/12/12,"The Accidental President: Harry S. Truman and the Four Months That Changed the World, A Promised Land, A.J. Baime",66,"In-depth biography. If you like A.J. Baime, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Taste: My Life Through Food,Stanley Tucci,nonfiction,"memoir, narrative nonfiction","conversational, heartwarming, accessible",4,291,2021,2021/09/28,"Eat a Peach, Save Me the Plums: My Gourmet Memoir, David Chang",66,"Personal, candid memoir. If you like David Chang, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,Pretty Girls,Karin Slaughter,fiction,"thriller, mystery, psychological, suspense",,4.0,416,2015,,"Sharp Objects, Dark Places, Gillian Flynn",66,"Fast-paced thriller. If you like Gillian Flynn, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,My Sister's Grave,Robert Dugoni,fiction,"thriller, legal, mystery",,4.2,376,2014,,"Presumed Innocent, The Client, John Grisham",66,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Compound,Aisling Rawle,fiction,"thriller, psychological, suspense","tense, fast-paced, dark, character-driven",3.8,292,2025,2025/12/06,"The Woman in the Window, Behind Closed Doors, B.A. Paris",65,"Tense thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,The Dilemma,B.A. Paris,fiction,"thriller, psychological, suspense","fast-paced, twisty, tense, dark",3.7,342,2020,2023/11/04,"Behind Closed Doors, The Breakdown, Shari Lapena",65,"Fast-paced thriller. If you like Shari Lapena, this hits the same notes.",Modest rating (3.7/5). Dark or heavy subject matter.,
candidate pool,Desert Star,Michael Connelly,fiction,"thriller, crime, mystery",,4.47,400,2022,,"The Outsider, Dark Places, John Grisham",65,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Bright Young Women,Jessica Knoll,fiction,"thriller, psychological, true crime, suspense, literary",,3.98,400,2023,,"Sharp Objects, Dark Places, Gillian Flynn",65,"Fast-paced thriller. If you like Gillian Flynn, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"Checkmate: Genius, Lies, Ambition, and the Biggest Scandal in Chess",Ben Mezrich,nonfiction,"narrative nonfiction, sports, true crime","fast-paced, investigative, narrative-driven",4,304,2026,2026/04/07,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal, Bitcoin Billionaires: A True Story of Genius, Betrayal, and Redemption, Nick Bilton",64,"Gripping true crime narrative. If you like Nick Bilton, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,The Final Score,Don Winslow,fiction,"thriller, crime, suspense","fast-paced, dark, gritty, character-driven",4,304,2026,2026/02/26,"The Outsider, Billy Summers, Stephen King",64,"Fast-paced thriller. If you like Stephen King, this hits the same notes.",Dark or heavy subject matter.,
to-read,"Power Play: Tesla, Elon Musk, and the Bet of the Century",Tim Higgins,nonfiction,"tech history, biography, narrative nonfiction","narrative-driven, investigative, accessible",3.9,400,2021,2023/08/17,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future, Elon Musk, Ashlee Vance",64,"In-depth biography. If you like Ashlee Vance, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,The First Gentleman,Bill Clinton,fiction,"thriller, suspense","fast-paced, tense, plot-driven",3.8,466,2025,2025/06/26,"The President Is Missing, The President's Daughter, James Patterson",64,"Fast-paced thriller. If you like James Patterson, this hits the same notes.",Modest rating (3.8/5).,
to-read,Hard Cash Valley,Brian Panowich,fiction,"thriller, crime, mystery","fast-paced, dark, gritty, procedural",4.1,320,2020,2021/12/23,"Blacktop Wasteland, Everybody Knows, S.A. Cosby",64,"Fast-paced thriller. If you like S.A. Cosby, this hits the same notes.",Dark or heavy subject matter.,
candidate pool,Starter Villain,John Scalzi,fiction,speculative,,4.07,264,2023,,"Project Hail Mary, Upgrade, Andy Weir",64,"Inventive speculative premise. If you like Andy Weir, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Strange Sally Diamond,Liz Nugent,fiction,"thriller, psychological",,4.12,384,2023,,"The Silent Patient, Never Lie, Freida McFadden",64,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"The Midnight Lawyer (Hank Luger Legal Thrillers, #1)",J.J. Miller,fiction,"legal, thriller, courtroom","fast-paced, procedural, tense, plot-driven",4.1,396,2025,2026/03/19,"A Time to Kill (Jake Brigance, #1), The Street Lawyer, John Grisham",63,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Man Made of Smoke,Alex North,fiction,"thriller, mystery, suspense","fast-paced, tense, procedural, whodunit",4,310,2025,2025/05/21,"The Silent Patient, The Woman in the Window, Alex Michaelides",63,"Fast-paced thriller. If you like Alex Michaelides, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,All the Sinners Bleed,S.A. Cosby,fiction,"noir, crime, thriller, social commentary, history",,4.18,352,2023,,"A Time to Kill (Jake Brigance, #1), Dark Places, John Grisham",63,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Gone for Good,Harlan Coben,fiction,"thriller, mystery, romance",,3.9,384,2002,,"The Silent Patient, Never Lie, Freida McFadden",63,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Anatomy of an Alibi,Ashley Elston,fiction,"thriller, mystery, suspense","fast-paced, tense, procedural, whodunit",4,340,2026,2025/11/06,"First Lie Wins, The Silent Patient, Alex Michaelides",62,"Fast-paced thriller. If you like Alex Michaelides, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Staircase in the Woods,Chuck Wendig,fiction,"thriller, horror, mystery","dark, atmospheric, fast-paced, disturbing",3.9,388,2025,2025/09/10,"The Outsider, The Stand, Stephen King",62,"Atmospheric thriller. If you like Stephen King, this hits the same notes.",Dark or heavy subject matter.,
to-read,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,nonfiction,"true crime, narrative nonfiction, investigative journalism","investigative, dark, immersive-journalism, narrative-driven",4.4,431,2019,2021/07/10,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, Nick Bilton",62,"Gripping true crime narrative. If you like Nick Bilton, this hits the same notes.",Dark or heavy subject matter.,
candidate pool,Defending Jacob,William Landay,fiction,"thriller, legal, courtroom",,4.05,432,2012,,"Presumed Innocent, The Silent Patient, John Grisham",62,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Supercommunicators,Charles Duhigg,nonfiction,"psychology, business",,3.98,279,2024,,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed, Educated, Walter Isaacson",62,"Narrative nonfiction — reads like a novel about finance. If you like Walter Isaacson, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Peck & Peck,Bonnie Garmus,fiction,"literary, humor","humorous, heartwarming, character-driven, slow-burn",3.9,432,2026,2026/04/02,"Lessons in Chemistry, Remarkably Bright Creatures, Shelby Van Pelt",61,"Rich character work and atmospheric prose. If you like Shelby Van Pelt, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,The Break-Up Retreat,Camilla Sten,fiction,"thriller, psychological, suspense","atmospheric, dark, tense, twisty",3.7,320,2026,2026/03/25,"The Guest List, The Woman in the Window, Lucy Foley",61,"Atmospheric thriller. If you like Lucy Foley, this hits the same notes.",Modest rating (3.7/5). Dark or heavy subject matter.,
to-read,Widow's Point: The Complete Haunting,Richard Chizmar,fiction,"thriller, horror, suspense","fast-paced, tense, dark, disturbing",3.8,336,2025,2025/10/09,"The Outsider, The Stand, Stephen King",61,"Fast-paced thriller. If you like Stephen King, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,A Thousand Natural Shocks,Omar Hussain,fiction,"thriller, horror, suspense","fast-paced, tense, dark, disturbing",3.9,324,2025,2025/07/14,"The Outsider, The Stand, Stephen King",61,"Fast-paced thriller. If you like Stephen King, this hits the same notes.",Dark or heavy subject matter.,
to-read,Say Nothing,Brad Parks,fiction,"thriller, suspense","fast-paced, procedural, twisty, tense",4.2,448,2017,2025/04/07,"Interference, The Silent Patient, Michael Ledwidge",61,"Fast-paced thriller. If you like Michael Ledwidge, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Care and Feeding,Laurie Woolever,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",3.8,352,2025,2025/03/20,"Bourdain: The Definitive Oral Biography, Eat a Peach, David Chang",61,"Personal, candid memoir. If you like David Chang, this hits the same notes.",Modest rating (3.8/5).,
to-read,The God of the Woods,Liz Moore,fiction,"mystery, historical, thriller","fast-paced, slow-burn, procedural, whodunit",4.2,478,2024,2025/02/20,"The Silent Patient, Where the Crawdads Sing, Alex Michaelides",61,"Fast-paced mystery. If you like Alex Michaelides, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Culpability,Bruce Holsinger,fiction,"thriller, legal, speculative, tech history",,3.9,352,2025,,"The Firm (The Firm, #1), Presumed Innocent, John Grisham",61,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Gone World,Tom Sweterlitsch,fiction,"speculative, thriller, mystery, crime, sci-fi",,3.8,368,2018,,"Dark Matter, Recursion, Blake Crouch",61,"Fast-paced thriller. If you like Blake Crouch, this hits the same notes.",Modest rating (3.8/5). Mixed reader reactions.,
to-read,Judge Stone,Viola Davis,fiction,"legal, thriller, courtroom","fast-paced, procedural, tense, plot-driven",3.8,432,2026,2026/05/15,"A Time to Kill (Jake Brigance, #1), Presumed Innocent, John Grisham",60,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",Modest rating (3.8/5).,
to-read,Planet Money: A Guide to the Economic Forces That Shape Your Life,Alex Mayyasi,nonfiction,"finance, narrative nonfiction, business","accessible, conversational, narrative-driven",4,336,2026,2026/03/18,"Flash Boys: A Wall Street Revolt, The Big Short: Inside the Doomsday Machine, Michael Lewis",60,"Narrative nonfiction — reads like a novel about finance. If you like Michael Lewis, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Ask for Andrea,Noelle W. Ihli,fiction,"thriller, horror, suspense","fast-paced, tense, dark, disturbing",4,272,2022,2025/04/09,"The Outsider, The Woman in the Window, Stephen King",60,"Fast-paced thriller. If you like Stephen King, this hits the same notes.",Dark or heavy subject matter.,
